https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume REP
1641772800000,2022-01-10 00:00:00,REP/USD,16.278,16.481,14.92,15.525,4000.36100420475,257.67220639
1641686400000,2022-01-09 00:00:00,REP/USD,16.1,16.474,16.053,16.31,1158.9465694562,71.05742302
1641600000000,2022-01-08 00:00:00,REP/USD,16.803,16.803,15.837,16.143,1352.4614753254202,83.78005794
1641513600000,2022-01-07 00:00:00,REP/USD,16.407,17.814,16.067,16.76,22952.0403455824,1369.45348124
1641427200000,2022-01-06 00:00:00,REP/USD,16.793,17.18,16.08,16.406,7909.17423681944,482.09034724
1641340800000,2022-01-05 00:00:00,REP/USD,18.129,18.342,16.595,16.838,20600.69153687396,1223.46427942
1641254400000,2022-01-04 00:00:00,REP/USD,18.69,18.905,17.844,17.982,17249.56966467882,959.26869451
1641168000000,2022-01-03 00:00:00,REP/USD,19.194,19.401,18.293,18.551,5317.862194558289,286.66175379
1641081600000,2022-01-02 00:00:00,REP/USD,19.354,19.459,18.42,18.974,11661.0915815287,614.58267005
1640995200000,2022-01-01 00:00:00,REP/USD,18.26,19.612,18.26,18.979,11749.69924167916,619.08948004
1640908800000,2021-12-31 00:00:00,REP/USD,17.441,19.797,17.441,18.177,15937.339565155258,876.78602438
1640822400000,2021-12-30 00:00:00,REP/USD,17.093,17.646,16.817,17.611,10744.01198985939,610.07393049
1640736000000,2021-12-29 00:00:00,REP/USD,17.853,19.155,16.923,17.188,8983.268874715399,522.64771205
1640649600000,2021-12-28 00:00:00,REP/USD,19.144,19.264,17.671,17.822,4897.381062207479,274.79413433999997
1640563200000,2021-12-27 00:00:00,REP/USD,19.341,19.968,18.872,19.072,10374.54540619392,543.96735561
1640476800000,2021-12-26 00:00:00,REP/USD,19.61,19.61,18.844,19.328,3671.2599991347197,189.94515724
1640390400000,2021-12-25 00:00:00,REP/USD,18.113,21.616,17.834,19.73,29859.3752624023,1513.3996585099999
1640304000000,2021-12-24 00:00:00,REP/USD,18.423,18.473,17.846,17.87,2499.8151263835002,139.88892705
1640217600000,2021-12-23 00:00:00,REP/USD,17.555,18.342,17.229,18.284,9694.509579953241,530.21820061
1640131200000,2021-12-22 00:00:00,REP/USD,16.86,18.056,16.789,17.246,8517.40365207142,493.87705277000003
1640044800000,2021-12-21 00:00:00,REP/USD,16.151,17.071,15.886,16.97,5883.297495674499,346.68812585
1639958400000,2021-12-20 00:00:00,REP/USD,16.553,16.569,15.698,16.116,1167.5619896174398,72.44738084
1639872000000,2021-12-19 00:00:00,REP/USD,16.962,17.075,16.359,16.468,770.24577513132,46.77227199
1639785600000,2021-12-18 00:00:00,REP/USD,16.86,17.054,16.32,16.906,4848.856869668899,286.81278065
1639699200000,2021-12-17 00:00:00,REP/USD,16.455,17.041,16.089,16.684,8054.28696297528,482.75515242
1639612800000,2021-12-16 00:00:00,REP/USD,16.785,17.105,16.383,16.383,3012.5052241266,183.8799502
1639526400000,2021-12-15 00:00:00,REP/USD,16.339,16.73,15.326,16.578,1620.57520128186,97.75456637
1639440000000,2021-12-14 00:00:00,REP/USD,15.977,16.662,15.607,16.44,3178.6594918644,193.34911750999999
1639353600000,2021-12-13 00:00:00,REP/USD,17.385,17.53,15.678,15.875,3718.2500453875,234.2204753
1639267200000,2021-12-12 00:00:00,REP/USD,17.618,17.838,17.117,17.452,2719.2907115852004,155.8154201
1639180800000,2021-12-11 00:00:00,REP/USD,17.032,17.695,16.752,17.6,2088.599441632,118.67042282
1639094400000,2021-12-10 00:00:00,REP/USD,18.138,18.47,16.833,17.001,1728.0805436575204,101.64581752000001
1639008000000,2021-12-09 00:00:00,REP/USD,18.573,20.492,17.873,18.382,14763.4664027305,803.14799275
1638921600000,2021-12-08 00:00:00,REP/USD,18.493,18.694,17.128,18.369,4565.69218668537,248.55420473
1638835200000,2021-12-07 00:00:00,REP/USD,17.794,18.475,17.577,18.113,2013.30925340487,111.15272199
1638748800000,2021-12-06 00:00:00,REP/USD,17.009,18.123,15.534,17.825,4165.516427677,233.68956116
1638662400000,2021-12-05 00:00:00,REP/USD,18.014,19.899,15.982,16.766,4032.3675366681196,240.50862082
1638576000000,2021-12-04 00:00:00,REP/USD,20.928,21.139,15.498,17.879,12925.718787217671,722.95535473
1638489600000,2021-12-03 00:00:00,REP/USD,22.1,22.418,20.44,20.756,2359.69945033152,113.68758192
1638403200000,2021-12-02 00:00:00,REP/USD,21.811,22.332,21.284,22.062,8395.17230259258,380.52634859
1638316800000,2021-12-01 00:00:00,REP/USD,21.799,22.623,21.631,21.817,3580.5109868217196,164.11564316
1638230400000,2021-11-30 00:00:00,REP/USD,22.327,22.649,21.4,21.91,3226.8757149131998,147.27867252
1638144000000,2021-11-29 00:00:00,REP/USD,21.656,22.418,21.382,22.129,1535.2497892878,69.37727819999999
1638057600000,2021-11-28 00:00:00,REP/USD,21.62,21.687,20.401,21.42,991.3124114334001,46.27975777
