https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BAT
1707091200000,2024-02-05 00:00:00,BAT/USD,0.21442,0.21733,0.21142,0.21579,295.1338555220742,1367.69014098
1707004800000,2024-02-04 00:00:00,BAT/USD,0.21661,0.21849,0.21242,0.21425,603.5774269340575,2817.16418639
1706918400000,2024-02-03 00:00:00,BAT/USD,0.22156,0.22245,0.21624,0.21725,180.7021697954825,831.77063197
1706832000000,2024-02-02 00:00:00,BAT/USD,0.21998,0.22224,0.21763,0.22179,473.209564498118,2133.59287839
1706745600000,2024-02-01 00:00:00,BAT/USD,0.2194,0.22211,0.215,0.21929,958.6427644530307,4371.5753771400005
1706659200000,2024-01-31 00:00:00,BAT/USD,0.22382,0.22627,0.21556,0.2183,640.814364350126,2935.47578722
1706572800000,2024-01-30 00:00:00,BAT/USD,0.22827,0.23004,0.22124,0.22124,300.1066694166032,1356.47563468
1706486400000,2024-01-29 00:00:00,BAT/USD,0.22601,0.2294,0.22107,0.2294,1208.078783408002,5266.25450483
1706400000000,2024-01-28 00:00:00,BAT/USD,0.23023,0.23238,0.22466,0.22666,275.6341225254652,1216.06866022
1706313600000,2024-01-27 00:00:00,BAT/USD,0.22548,0.23438,0.22131,0.23092,680.07648323068,2945.0739790000002
1706227200000,2024-01-26 00:00:00,BAT/USD,0.21998,0.22589,0.21497,0.22521,4104.374943987501,18224.6567381
1706140800000,2024-01-25 00:00:00,BAT/USD,0.21553,0.21947,0.21031,0.21947,894.8229442810085,4077.19936338
1706054400000,2024-01-24 00:00:00,BAT/USD,0.20971,0.2165,0.20745,0.2162,1088.074217086896,5032.72070808
1705968000000,2024-01-23 00:00:00,BAT/USD,0.21535,0.22033,0.2,0.21123,52093.94766355346,246621.91764216
1705881600000,2024-01-22 00:00:00,BAT/USD,0.22727,0.22926,0.21005,0.21624,6600.904457033519,30525.825273
1705795200000,2024-01-21 00:00:00,BAT/USD,0.23168,0.23395,0.22797,0.22797,349.07406904512004,1531.228096
1705708800000,2024-01-20 00:00:00,BAT/USD,0.22712,0.23267,0.22679,0.23266,3256.5978383889137,13997.23991399
1705622400000,2024-01-19 00:00:00,BAT/USD,0.22977,0.23057,0.21765,0.22867,1643.2303685515512,7186.0338853
1705536000000,2024-01-18 00:00:00,BAT/USD,0.24475,0.24671,0.22589,0.23073,829.5895762297488,3595.49939856
1705449600000,2024-01-17 00:00:00,BAT/USD,0.24639,0.24735,0.23938,0.24536,3022.6581417931147,12319.27837379
1705363200000,2024-01-16 00:00:00,BAT/USD,0.23907,0.24786,0.23815,0.24597,277.7747407712757,1129.30333281
1705276800000,2024-01-15 00:00:00,BAT/USD,0.23783,0.24543,0.23492,0.23881,597.8638170801725,2503.51248725
1705190400000,2024-01-14 00:00:00,BAT/USD,0.24636,0.24862,0.23493,0.23493,484.1995627642299,2061.03759743
1705104000000,2024-01-13 00:00:00,BAT/USD,0.244,0.24937,0.237,0.24689,1729.9715672397522,7007.05402098
1705017600000,2024-01-12 00:00:00,BAT/USD,0.2643,0.27,0.23732,0.24424,2382.3144855703667,9753.98986886
1704931200000,2024-01-11 00:00:00,BAT/USD,0.24287,0.26276,0.24145,0.26276,2004.419979940129,7628.3299586699995
1704844800000,2024-01-10 00:00:00,BAT/USD,0.22993,0.24501,0.22309,0.24199,1514.7955689173089,6259.7444891
1704758400000,2024-01-09 00:00:00,BAT/USD,0.24323,0.25,0.22469,0.22953,5313.30075091778,23148.61129664
1704672000000,2024-01-08 00:00:00,BAT/USD,0.22952,0.24313,0.215,0.24113,8278.851272427943,34333.5597911
1704585600000,2024-01-07 00:00:00,BAT/USD,0.23106,0.25173,0.22718,0.23018,15074.099694072947,65488.31216471
1704499200000,2024-01-06 00:00:00,BAT/USD,0.23561,0.23561,0.22039,0.23178,1253.7477266302224,5409.21445608
1704412800000,2024-01-05 00:00:00,BAT/USD,0.24783,0.2493,0.22711,0.23515,2327.3530771370274,9897.31268185
1704326400000,2024-01-04 00:00:00,BAT/USD,0.24793,0.24934,0.23867,0.24798,2979.7474839729366,12016.07986117
1704240000000,2024-01-03 00:00:00,BAT/USD,0.26851,0.286,0.21765,0.24691,153563.9293715788,621942.93212741
1704153600000,2024-01-02 00:00:00,BAT/USD,0.26097,0.26799,0.25855,0.26658,2717.35283583065,10193.38598481
1704067200000,2024-01-01 00:00:00,BAT/USD,0.25636,0.26381,0.25421,0.26299,1778.3801123709075,6762.15868425
1703980800000,2023-12-31 00:00:00,BAT/USD,0.24659,0.26518,0.24656,0.2584,9441.972591328904,36540.14160731
1703894400000,2023-12-30 00:00:00,BAT/USD,0.24692,0.24859,0.24024,0.24557,1133.2702036757712,4614.85606416
1703808000000,2023-12-29 00:00:00,BAT/USD,0.2533,0.2552,0.24325,0.24742,4922.004665440391,19893.31770043
1703721600000,2023-12-28 00:00:00,BAT/USD,0.26809,0.27061,0.25186,0.25517,8367.422791961619,32791.561672460004
1703635200000,2023-12-27 00:00:00,BAT/USD,0.26297,0.27139,0.25011,0.26712,2625.7911303465075,9830.00572906
1703548800000,2023-12-26 00:00:00,BAT/USD,0.26302,0.27286,0.24554,0.26256,5453.880059488536,20771.93806935
1703462400000,2023-12-25 00:00:00,BAT/USD,0.25202,0.26449,0.2503,0.26371,4029.6065197853545,15280.44639864
1703376000000,2023-12-24 00:00:00,BAT/USD,0.25386,0.2586,0.247,0.2521,4836.9839579546315,19186.76698911
1703289600000,2023-12-23 00:00:00,BAT/USD,0.25023,0.25455,0.24325,0.25389,384.9547104185328,1516.22635952
1703203200000,2023-12-22 00:00:00,BAT/USD,0.24395,0.25121,0.24337,0.25121,1653.2277551402285,6581.05869647
1703116800000,2023-12-21 00:00:00,BAT/USD,0.23586,0.24768,0.2342,0.24461,9110.01391267938,37243.01505531
1703030400000,2023-12-20 00:00:00,BAT/USD,0.22648,0.24024,0.22401,0.23702,1297.2064815600452,5472.98321475
1702944000000,2023-12-19 00:00:00,BAT/USD,0.23023,0.23482,0.224,0.22529,429.07017598343987,1904.52384031
1702857600000,2023-12-18 00:00:00,BAT/USD,0.23588,0.23709,0.21765,0.23153,1462.3942103854902,6316.21910934
1702771200000,2023-12-17 00:00:00,BAT/USD,0.23857,0.24115,0.23421,0.23597,911.9743769935681,3864.7894944
1702684800000,2023-12-16 00:00:00,BAT/USD,0.234,0.2422,0.23,0.23724,328.87397401817765,1386.25010124
1702598400000,2023-12-15 00:00:00,BAT/USD,0.24605,0.24793,0.23313,0.23403,682.3387304450156,2915.60368519
1702512000000,2023-12-14 00:00:00,BAT/USD,0.24224,0.24706,0.23732,0.24537,2102.671830093993,8569.3924689
1702425600000,2023-12-13 00:00:00,BAT/USD,0.23702,0.24249,0.22867,0.24151,3464.2034088946534,14343.93362136
1702339200000,2023-12-12 00:00:00,BAT/USD,0.2329,0.23732,0.22999,0.23732,960.6285155192352,4047.81946536
1702252800000,2023-12-11 00:00:00,BAT/USD,0.25362,0.25362,0.22309,0.23287,5998.5258228604125,25759.11806098
1702166400000,2023-12-10 00:00:00,BAT/USD,0.25423,0.25874,0.24625,0.25438,6186.111135413334,24318.38641172
1702080000000,2023-12-09 00:00:00,BAT/USD,0.25375,0.25911,0.2524,0.25432,1638.0564503789728,6440.9265900400005
1701993600000,2023-12-08 00:00:00,BAT/USD,0.24425,0.2551,0.24234,0.2551,4022.195857078782,15767.13389682
1701907200000,2023-12-07 00:00:00,BAT/USD,0.23752,0.24625,0.23212,0.24432,3441.8008501364066,14087.26608602
1701820800000,2023-12-06 00:00:00,BAT/USD,0.24424,0.24625,0.23438,0.23706,1723.813507933414,7271.63379707
1701734400000,2023-12-05 00:00:00,BAT/USD,0.24487,0.24952,0.23778,0.24454,2433.309285245213,9950.55731269
1701648000000,2023-12-04 00:00:00,BAT/USD,0.23436,0.25,0.22589,0.24625,7022.522179286388,28517.85656563
1701561600000,2023-12-03 00:00:00,BAT/USD,0.23438,0.24325,0.2304,0.23364,1079.983489369158,4622.42548095
1701475200000,2023-12-02 00:00:00,BAT/USD,0.22559,0.24202,0.22438,0.23709,7757.233231183594,32718.51715038
1701388800000,2023-12-01 00:00:00,BAT/USD,0.22119,0.22669,0.22038,0.22665,115.57002082826699,509.90523198
1701302400000,2023-11-30 00:00:00,BAT/USD,0.22623,0.24308,0.22,0.22283,7278.318147550682,32663.0980907
