https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ETC
1706227200000,2024-01-26 00:00:00,ETC/USD,23.236,24.11,22.874,23.878,94006.63731978773,3936.95608174
1706140800000,2024-01-25 00:00:00,ETC/USD,22.919,23.51,22.205,23.293,77119.23257798357,3310.83297892
1706054400000,2024-01-24 00:00:00,ETC/USD,23.141,23.471,22.592,23.03,13087.5741761562,568.28372454
1705968000000,2024-01-23 00:00:00,ETC/USD,22.99,23.852,21.724,23.151,481632.38497771265,20803.95598366
1705881600000,2024-01-22 00:00:00,ETC/USD,24.5,24.655,22.823,22.884,136505.1230136533,5965.09015092
1705795200000,2024-01-21 00:00:00,ETC/USD,24.748,25.405,24.505,24.505,28016.66614051565,1143.30406613
1705708800000,2024-01-20 00:00:00,ETC/USD,25.311,25.311,24.18,24.752,137386.74255681646,5550.53096949
1705622400000,2024-01-19 00:00:00,ETC/USD,24.533,25.486,22.896,25.312,157770.79780655424,6233.04352902
1705536000000,2024-01-18 00:00:00,ETC/USD,26.129,26.129,24.061,24.461,196952.17119361347,8051.68109209
1705449600000,2024-01-17 00:00:00,ETC/USD,27.238,27.349,25.653,26.157,119550.2962108614,4570.4895902
1705363200000,2024-01-16 00:00:00,ETC/USD,26.659,27.687,26.061,27.321,311402.1534128444,11397.90466721
1705276800000,2024-01-15 00:00:00,ETC/USD,26.581,27.727,26.07,26.757,311766.6243941798,11651.77801675
1705190400000,2024-01-14 00:00:00,ETC/USD,28.555,28.555,26.271,26.38,102032.331535483,3867.79118785
1705104000000,2024-01-13 00:00:00,ETC/USD,29.276,29.963,27.911,28.662,285865.3697665438,9973.67140348
1705017600000,2024-01-12 00:00:00,ETC/USD,29.747,32.415,27.619,29.064,622860.2942308488,21430.6459617
1704931200000,2024-01-11 00:00:00,ETC/USD,26.586,32.119,25.816,29.632,1426802.2980832646,48150.72550227
1704844800000,2024-01-10 00:00:00,ETC/USD,21.182,26.582,20.364,26.16,534217.007818416,20421.1394426
1704758400000,2024-01-09 00:00:00,ETC/USD,20.377,21.206,19.47,21.206,129824.57973616473,6122.06827012
1704672000000,2024-01-08 00:00:00,ETC/USD,19.308,20.434,18.352,20.3,155459.3428521,7658.0957069999995
1704585600000,2024-01-07 00:00:00,ETC/USD,19.893,20.099,19.044,19.259,25600.937823307107,1329.29735829
1704499200000,2024-01-06 00:00:00,ETC/USD,20.168,20.279,19.361,19.898,33331.95087610762,1675.14076169
1704412800000,2024-01-05 00:00:00,ETC/USD,20.485,20.644,19.354,20.128,36453.43945531456,1811.08105402
1704326400000,2024-01-04 00:00:00,ETC/USD,20.096,20.761,19.816,20.533,51084.14047520392,2487.90437224
1704240000000,2024-01-03 00:00:00,ETC/USD,22.017,22.407,18.202,20.043,286628.26795243693,14300.66696365
1704153600000,2024-01-02 00:00:00,ETC/USD,22.475,23.032,21.937,22.005,48252.77344469025,2192.80951805
1704067200000,2024-01-01 00:00:00,ETC/USD,21.952,22.527,21.519,22.524,72458.7375568386,3216.95691515
1703980800000,2023-12-31 00:00:00,ETC/USD,22.261,22.497,21.415,21.912,39196.20958356048,1788.80109454
1703894400000,2023-12-30 00:00:00,ETC/USD,22.479,23.327,22.157,22.299,26883.48313813215,1205.59142285
1703808000000,2023-12-29 00:00:00,ETC/USD,22.731,23.421,21.832,22.539,112825.24306639246,5005.77856455
1703721600000,2023-12-28 00:00:00,ETC/USD,22.76,24.381,22.182,22.455,191528.54796837238,8529.43878728
1703635200000,2023-12-27 00:00:00,ETC/USD,20.886,22.737,20.41,22.654,94190.0051871461,4157.76486215
1703548800000,2023-12-26 00:00:00,ETC/USD,21.397,21.467,19.644,20.848,187973.79355254845,9016.39454876
1703462400000,2023-12-25 00:00:00,ETC/USD,20.863,21.691,20.655,21.469,88157.37070171339,4106.26348231
1703376000000,2023-12-24 00:00:00,ETC/USD,21.489,21.716,20.541,20.932,39812.648522251235,1901.99926057
1703289600000,2023-12-23 00:00:00,ETC/USD,21.951,22.289,21.04,21.54,41640.9454480692,1933.19152498
1703203200000,2023-12-22 00:00:00,ETC/USD,20.654,22.173,20.611,21.923,134787.01113202094,6148.20102778
1703116800000,2023-12-21 00:00:00,ETC/USD,20.167,20.95,20.044,20.691,30076.48664842932,1453.60237052
1703030400000,2023-12-20 00:00:00,ETC/USD,19.703,20.586,19.612,20.184,48524.861710509365,2404.12513429
1702944000000,2023-12-19 00:00:00,ETC/USD,19.832,20.158,19.465,19.671,61720.84275139995,3137.65658845
1702857600000,2023-12-18 00:00:00,ETC/USD,20.041,20.078,18.791,19.931,119177.92106370497,5979.52541587
1702771200000,2023-12-17 00:00:00,ETC/USD,20.719,20.719,19.9,19.988,26358.64532239736,1318.72350022
1702684800000,2023-12-16 00:00:00,ETC/USD,19.986,20.868,19.751,20.766,18261.33089454888,879.38605868
1702598400000,2023-12-15 00:00:00,ETC/USD,20.873,20.898,19.844,19.94,34104.1116915384,1710.33659436
1702512000000,2023-12-14 00:00:00,ETC/USD,20.782,20.985,20.033,20.892,112660.48192732295,5392.51780238
1702425600000,2023-12-13 00:00:00,ETC/USD,20.313,20.884,19.459,20.735,32255.894703310852,1555.62549811
1702339200000,2023-12-12 00:00:00,ETC/USD,20.224,20.56,19.891,20.36,24410.653305332402,1198.95153759
1702252800000,2023-12-11 00:00:00,ETC/USD,22.011,22.011,18.181,20.184,305061.1938830506,15114.01079484
1702166400000,2023-12-10 00:00:00,ETC/USD,22.049,22.506,21.46,21.972,122504.60366705077,5575.48715033
1702080000000,2023-12-09 00:00:00,ETC/USD,22.323,23.408,21.703,22.16,311102.1901284232,14038.90749677
1701993600000,2023-12-08 00:00:00,ETC/USD,22.082,22.6,21.807,22.279,58967.931410760895,2646.79435391
1701907200000,2023-12-07 00:00:00,ETC/USD,20.31,22.326,20.31,21.955,164355.44721023098,7486.0144482
1701820800000,2023-12-06 00:00:00,ETC/USD,20.291,20.87,19.905,20.215,234792.02206451292,11614.74262006
1701734400000,2023-12-05 00:00:00,ETC/USD,19.91,20.45,19.303,20.285,65467.92500403235,3227.40571871
1701648000000,2023-12-04 00:00:00,ETC/USD,19.811,20.334,19.447,19.941,169816.77934431314,8515.96105232
1701561600000,2023-12-03 00:00:00,ETC/USD,19.6,19.992,19.054,19.809,171204.58944896358,8642.76790595
1701475200000,2023-12-02 00:00:00,ETC/USD,19.003,19.702,19.003,19.611,77545.24651809991,3954.1709509
1701388800000,2023-12-01 00:00:00,ETC/USD,18.611,19.09,18.611,18.976,7514.94226883904,396.02351754
1701302400000,2023-11-30 00:00:00,ETC/USD,18.734,18.781,18.516,18.627,2739.75456805281,147.08512203
1701216000000,2023-11-29 00:00:00,ETC/USD,18.893,19.038,18.596,18.749,76694.27546810245,4090.5795225399997
1701129600000,2023-11-28 00:00:00,ETC/USD,18.528,18.997,18.259,18.854,72829.38567496988,3862.80819322
1701043200000,2023-11-27 00:00:00,ETC/USD,19.038,19.038,18.166,18.58,12817.5022635224,689.85480428
1700956800000,2023-11-26 00:00:00,ETC/USD,19.455,19.521,18.499,19.104,26068.0031220768,1364.5311517
1700870400000,2023-11-25 00:00:00,ETC/USD,19.197,19.534,19.158,19.445,62472.254077576545,3212.76698779
1700784000000,2023-11-24 00:00:00,ETC/USD,18.941,19.558,18.903,19.194,75874.8925487448,3953.0526492
1700697600000,2023-11-23 00:00:00,ETC/USD,19.011,19.144,18.775,18.919,3779.92155827007,199.79499753
1700611200000,2023-11-22 00:00:00,ETC/USD,18.306,19.286,18.254,19.041,129451.21598001714,6798.55133554
1700524800000,2023-11-21 00:00:00,ETC/USD,19.471,19.598,17.633,18.255,238471.41728910146,13063.3479753
1700438400000,2023-11-20 00:00:00,ETC/USD,19.528,19.932,19.282,19.553,6788.68512786278,347.19404326
1700352000000,2023-11-19 00:00:00,ETC/USD,19.215,19.539,18.965,19.539,12768.487454342881,653.4872539200001
1700265600000,2023-11-18 00:00:00,ETC/USD,19.319,19.319,18.458,19.238,6411.89107085738,333.29301751
1700179200000,2023-11-17 00:00:00,ETC/USD,19.328,19.594,18.444,19.378,16935.0067065387,873.92954415
1700092800000,2023-11-16 00:00:00,ETC/USD,20.047,20.581,18.939,19.264,64474.426596074874,3346.88676267
1700006400000,2023-11-15 00:00:00,ETC/USD,19.057,19.856,18.777,19.856,246509.73885742607,12414.874035929999
1699920000000,2023-11-14 00:00:00,ETC/USD,20.0,20.117,18.363,19.039,133712.53215823215,7023.08588467
1699833600000,2023-11-13 00:00:00,ETC/USD,20.058,21.07,19.573,20.039,486487.39387356106,24277.02948618
